poi_id,name,poi_group,lat,lon,nearest_edge_u,nearest_edge_v,nearest_edge_key,access_node,network_distance_from_start_m,desired_count,candidate_limit
5110342142,Molla Hüsrev cami Turbası,museum_historic,41.014778,28.959381,1260080702,10132350481,0,1260080702,41.05466458866986,2,20
6916379085,İstanbul’un Orta Noktası,museum_historic,41.013123,28.957839,2370590050,3086131038,0,2370590050,288.59468486701405,2,20
4506783904,Kanuni Sultan Suleyman 1 Turbesi,museum_historic,41.0157,28.964466,3085937886,3085937866,0,3085937886,448.6739142620002,2,20
5112732265,Beyazıt Türk Hamam Kültürü Müzesi,museum_historic,41.009946,28.961554,5011983663,31678562,0,5011983663,469.7782072173903,2,20
9217070484,Türk Eczacılık Tarihi İhtisas Müzesi,museum_historic,41.010849,28.963116,256097740,11365741269,0,256097740,485.47369725567523,2,20
4506862293,Hurrem Haseki (Roksolana) Turbesi,museum_historic,41.015668,28.964808,3085937866,12353722998,0,3085937866,526.5791084191296,2,20
11331440495,Unnamed POI,museum_historic,41.009744,28.956202,10073978967,11331464187,0,10073978967,627.6684799022092,2,20
11331440494,Unnamed POI,museum_historic,41.010396,28.956852,10073978967,11331464187,0,10073978967,627.6684799022092,2,20
5115939964,Türk Vakıf Hat Sanatları Müzesi,museum_historic,41.01005,28.963181,10613317680,13281920964,0,10613317680,645.9945799069459,2,20
9206305917,Beyazit Kulesi,museum_historic,41.011394,28.964682,3081960364,3081960383,0,3081960364,666.2604057723516,2,20
4977947521,Ayios Polieuktos Kilisesi,museum_historic,41.014232,28.952959,9585453889,9585453905,0,9585453889,669.1959274153279,2,20
3254460380,Fatih Anıtı,museum_historic,41.015573,28.954219,3847980029,3847980030,0,3847980029,722.817507565567,2,20
12766787501,Unnamed POI,museum_historic,41.009412,28.962619,10119894401,2370435052,0,10119894401,738.9248043105713,2,20
12766787301,Unnamed POI,museum_historic,41.009446,28.962221,10119894401,2370435052,0,10119894401,738.9248043105713,2,20
9217099231,İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi,museum_historic,41.009856,28.960116,11279359852,31678562,0,11279359852,743.8517620911365,2,20
3254460381,Hava Şehitleri Anıtı,museum_historic,41.016075,28.952635,3364860686,1061625326,0,3364860686,850.3364338646384,2,20
3236233297,Kıztaşı,museum_historic,41.015441,28.950285,10263288053,10263288051,0,10263288053,985.3225576200061,2,20
4509011791,Unnamed POI,museum_historic,41.018844,28.950815,1061625104,2371737279,0,1061625104,1001.8785236705739,2,20
3220979738,Manifaturaci Draper,museum_historic,41.014808,28.971091,311367463,311367464,0,311367463,1024.8506320521549,2,20
4509007790,Unnamed POI,museum_historic,41.018933,28.9505,1061625181,3365517676,0,1061625181,1067.8175783071094,2,20
9867832017,Rainbow stairs,viewpoint_attraction,41.016589,28.966676,2379738142,30215239,0,2379738142,795.5208053283951,1,10
4895209121,Laleli,viewpoint_attraction,41.008694,28.955729,269723085,10178607731,0,269723085,898.2203632161508,1,10
5244807882,Merzifonlu Kara Mustafa Paşa Medresesi,viewpoint_attraction,41.008669,28.967937,251298881,1408445385,0,251298881,1040.8970469594924,1,10
5244807985,Çorlulu Alipaşa Madresesi,viewpoint_attraction,41.008912,28.968318,13431433996,13431433998,0,13431433996,1048.5101122912254,1,10
5111212264,Cesme,viewpoint_attraction,41.011657,28.97194,1645728206,3379772325,0,1645728206,1312.1451114970205,1,10
663391267,Çemberlitaş Hamamı,viewpoint_attraction,41.008542,28.971624,2775763243,13431435311,0,2775763243,1400.7172181478963,1,10
5244805876,Pera Spa,viewpoint_attraction,41.010597,28.973182,311371040,311371041,0,311371040,1492.6892348360345,1,10
5108836360,Sultan Spa and Wellness Center,viewpoint_attraction,41.012376,28.977568,11165697758,11165697757,0,11165697758,1679.407575171772,1,10
11143992097,Terrace,viewpoint_attraction,41.009989,28.976532,3079788631,1646281962,0,3079788631,1768.7710907364326,1,10
5108828672,II. Abdülhamit Çeşmesi,viewpoint_attraction,41.01478,28.979041,278366508,278366509,0,278366508,1807.3733968141705,1,10
4763681623,Alfred Heilbronn Botanik Bahçesi,park_garden,41.018313,28.963871,10617232713,2370517707,0,10617232713,866.0630316253979,1,10
8735018410,Mehmet Akif Ersoy Parkı,park_garden,41.007768,28.975445,3076865539,3076865604,0,3076865539,1758.5650556035196,1,10
10127887983,Keyci Hatun Parkı,park_garden,41.007752,28.942825,1058996265,1058996086,0,1058996265,1932.0579293805201,1,10
13530207351,Hoca Ahmet Yesevi Parkı,park_garden,41.002865,28.97139,13583574258,2361227099,0,13583574258,1957.3680292242427,1,10
8969305833,Lale Bahçesi,park_garden,41.013755,28.984855,2398449411,3078464288,0,2398449411,2641.3829990897775,1,10
