poi_id,name,lat,lon,poi_group,poi_category,amenity,tourism,historic,leisure,geometry
5088194829,Samatya Büfe,40.999624,28.931399,food,amenity:cafe,cafe,,,,POINT (28.931399 40.999624)
5088190905,Samatya Cafe ve Van Kahvaltı Salonu,40.999307,28.932854,food,amenity:cafe,cafe,,,,POINT (28.932854 40.999307)
5108828690,Sarayburnu Aile Çay Bahçesi,41.017568,28.985708,food,amenity:cafe,cafe,,,,POINT (28.985708 41.017568)
3746916685,Sark Kahvesi,41.010567,28.967536,food,amenity:cafe,cafe,,,,POINT (28.967536 41.010567)
5244809859,Sarnıç Nargile Cafe,41.008305,28.967066,food,amenity:cafe,cafe,,,,POINT (28.967066 41.008305)
5113465008,Satli kahve,41.019639,28.951807,food,amenity:cafe,cafe,,,,POINT (28.951807 41.019639)
4288291390,Sea front,41.017552,28.964466,food,amenity:cafe,cafe,,,,POINT (28.964466 41.017552)
5113620683,Sebil Cafe,41.007498,28.979634,food,amenity:cafe,cafe,,,,POINT (28.979634 41.007498)
5108874525,Sedef Büfe,41.008126,28.973825,food,amenity:cafe,cafe,,,,POINT (28.973825 41.008126)
5086061116,Sedosh cafe,41.028702,28.952598,food,amenity:cafe,cafe,,,,POINT (28.952598 41.028702)
5113127752,Sefa Cafe,41.005748,28.932444,food,amenity:cafe,cafe,,,,POINT (28.932444 41.005748)
