osmid,y,x,street_count,highway,ref,railway,geometry
10653884878,41.0136402,28.9711301,3,,,,POINT (28.9711301 41.0136402)
10653884879,41.0134637,28.9709976,1,,,,POINT (28.9709976 41.0134637)
10653886149,41.0050163,28.9318661,1,,,,POINT (28.9318661 41.0050163)
10653923936,41.0035991,28.9801359,3,,,,POINT (28.9801359 41.0035991)
10653923937,41.0035014,28.9802584,1,,,,POINT (28.9802584 41.0035014)
10653957853,41.0169178,28.9672543,3,,,,POINT (28.9672543 41.0169178)
10653957854,41.016501,28.9670945,1,,,,POINT (28.9670945 41.016501)
10654007945,41.0025638,28.9276639,3,,,,POINT (28.9276639 41.0025638)
10654007946,41.0024736,28.9273372,1,,,,POINT (28.9273372 41.0024736)
10654026269,41.0031164,28.9248964,1,,,,POINT (28.9248964 41.0031164)
10654026271,41.0026612,28.9248149,3,,,,POINT (28.9248149 41.0026612)
10654033205,41.0015149,28.922739,1,,,,POINT (28.922739 41.0015149)
10654033206,41.0012886,28.9226988,1,,,,POINT (28.9226988 41.0012886)
10654033208,41.0014591,28.9227301,3,,,,POINT (28.9227301 41.0014591)
10654033209,41.0013936,28.9230123,3,,,,POINT (28.9230123 41.0013936)
10654048807,41.0120053,28.9695283,3,,,,POINT (28.9695283 41.0120053)
10654048808,41.0119152,28.9691761,1,,,,POINT (28.9691761 41.0119152)
10656628588,41.0119322,28.9687489,1,,,,POINT (28.9687489 41.0119322)
10656657539,41.0128368,28.9677761,3,,,,POINT (28.9677761 41.0128368)
10656657540,41.0127945,28.967486,3,,,,POINT (28.967486 41.0127945)
10656666409,41.0125493,28.9688022,3,,,,POINT (28.9688022 41.0125493)
10656666411,41.0123531,28.9690711,1,,,,POINT (28.9690711 41.0123531)
