poi_id,name,lat,lon,poi_group,poi_category,amenity,tourism,historic,leisure,geometry,nearest_edge_u,nearest_edge_v,nearest_edge_key,distance_to_edge_m
9090515189,Tarihi Leziz Pide Fırını,41.018639,28.96475,food,amenity:restaurant,restaurant,,,,POINT (28.96475 41.018639),2370517717,2370517707,0,1.5378664490002667
11893467169,Tarihi Pasahan Konagi,41.016838,28.954429,food,amenity:restaurant,restaurant,,,,POINT (28.954429 41.016838),10660070278,10660070279,0,6.037524688048443
5099056215,Tarihi Sariyer Börekçisi,41.006326,28.95008,food,amenity:restaurant,restaurant,,,,POINT (28.95008 41.006326),1058892752,1058894146,0,8.400609681901958
5244807393,Tarihi Sofçuhan Muhallebicisi,41.0098,28.969963,food,amenity:restaurant,restaurant,,,,POINT (28.969963 41.0098),278005027,278005047,0,2.3902154053099567
5244807403,Tarihi Subaşı Lokantası,41.010621,28.969966,food,amenity:restaurant,restaurant,,,,POINT (28.969966 41.010621),10226426310,10226426312,0,3.356806814494889
4790800225,Tarihi Sultanahmet Köftecisi Selim Usta,41.008003,28.976967,food,amenity:restaurant,restaurant,,,,POINT (28.976967 41.008003),11005974944,11010266598,0,4.4356664030312025
5103810786,Tarihi ULUSOY PASTA BÖREKÇİSİ,41.019638,28.928218,food,amenity:restaurant,restaurant,,,,POINT (28.928218 41.019638),2378713429,1059137446,0,12.24136810433697
5112732251,Tarihi Unkapanı Pilavcısı,41.011564,28.960195,food,amenity:restaurant,restaurant,,,,POINT (28.960195 41.011564),4150674373,5011983663,0,8.332594912928055
5111215210,Tarihi dagkapi,41.006034,28.936411,food,amenity:restaurant,restaurant,,,,POINT (28.936411 41.006034),1058996075,3371761303,0,7.812159654540491
9722432917,Tarihi kardeşler börek ve pideci,41.017269,28.968158,food,amenity:restaurant,restaurant,,,,POINT (28.968158 41.017269),768676859,768676855,0,4.135392348098446
