u,v,key,osmid,bridge,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,tunnel,width,service,area,ref
1064575054,1060107324,0,91310673,,primary,3,30,Fevzipaşa Caddesi,False,False,29.199538826005945,"LINESTRING (28.9370206 41.0299297, 28.9370144 41.0299783, 28.9369561 41.0301875)",,,,,,
1064575063,1064574963,0,91629625,,residential,,,Vaiz Sokak,False,True,49.45624046961684,"LINESTRING (28.9370613 41.030997, 28.9373318 41.0313922)",,,,,,
1064575063,1064575072,0,91629626,,tertiary,,,Nester Sokağı,False,True,69.5916435512947,"LINESTRING (28.9370613 41.030997, 28.9363408 41.0313073)",,,,,,
1064575063,1064575052,0,228398995,,tertiary,,,Nester Sokağı,False,False,58.92677680057523,"LINESTRING (28.9370613 41.030997, 28.9376845 41.0307524)",,,,,,
1064575063,1064575033,0,228399002,,residential,,,Vaiz Sokak,False,False,51.57901988201497,"LINESTRING (28.9370613 41.030997, 28.9368416 41.0307164, 28.9367319 41.030606)",,,,,,
1064575072,1064575063,0,91629626,,tertiary,,,Nester Sokağı,False,False,69.5916435512947,"LINESTRING (28.9363408 41.0313073, 28.9370613 41.030997)",,,,,,
1064575072,1064575165,0,228398994,,tertiary,,,Hoca Çakir Caddesi,False,True,30.520507918009955,"LINESTRING (28.9363408 41.0313073, 28.9363756 41.0313548, 28.9366117 41.0314843)",,,,,,
1064575072,12356607908,0,"[1335772529, 1335772530, 1335772532]",,"['footway', 'steps']",,,,False,"[False, True]",18.95457716304377,"LINESTRING (28.9363408 41.0313073, 28.9362896 41.0312393, 28.9362427 41.0311765, 28.9362273 41.03116)",,,,,,
1064575075,2370789868,0,228398995,,tertiary,,,Nester Sokağı,False,True,18.83004738948029,"LINESTRING (28.9384662 41.0304819, 28.9382551 41.0305395)",,,,,,
1064575075,1064574908,0,228398996,,tertiary,,,Nester Sokağı,False,False,50.98795788387169,"LINESTRING (28.9384662 41.0304819, 28.9390575 41.0303756)",,,,,,
1064575075,1064574956,0,329840563,,residential,,,Kariye Camii Sokağı,False,True,44.43241958070302,"LINESTRING (28.9384662 41.0304819, 28.9387479 41.0308203)",,,,,,
1064575075,1064575098,0,932876133,,residential,,,Kalfa Efendi Sokağı,False,False,7.12016353345235,"LINESTRING (28.9384662 41.0304819, 28.9384329 41.030423)",,,,,,
