poi_id,name,lat,lon,poi_group,poi_category,amenity,tourism,historic,leisure,geometry,mapped_node_id,distance_to_node_m,mapped_node_lon,mapped_node_lat
463142937,Java Studio Istanbul,41.005597,28.979318,food,amenity:cafe,cafe,,,,POINT (28.979318 41.005597),356404378,30.266965492673414,28.9789782,41.0056883
5106122303,Joury Cafe,41.025058,28.940408,food,amenity:cafe,cafe,,,,POINT (28.940408 41.025058),2370840005,19.646117121611795,28.9403624,41.0252313
5113620620,Joy Cafe Restaurant & Shisha Lounge,41.003615,28.979266,food,amenity:cafe,cafe,,,,POINT (28.979266 41.003615),278004979,8.313052141218993,28.979262,41.0035403
12855224101,K. Ayasofya Art Cafe,41.002736,28.972978,food,amenity:cafe,cafe,,,,POINT (28.972978 41.002736),1194549295,23.22658573288472,28.9728875,41.0025386
5113592166,KAHVE KÖŞEM,41.010874,28.938596,food,amenity:cafe,cafe,,,,POINT (28.938596 41.010874),1058995758,13.850149125699467,28.9385352,41.0109898
5115937984,Kaan Çay Evi,41.010605,28.928869,food,amenity:cafe,cafe,,,,POINT (28.928869 41.010605),1057574433,4.497158894432419,28.928921,41.0106148
5112749115,Kadraj Cafe,41.033004,28.945913,food,amenity:cafe,cafe,,,,POINT (28.945913 41.033004),1103230164,11.399828846100577,28.9457777,41.0329943
5244802020,Kadırga Çay Evi,41.005031,28.970506,food,amenity:cafe,cafe,,,,POINT (28.970506 41.005031),275605024,27.379106642822922,28.9701951,41.0051057
5111206122,Kahve 1,41.019833,28.961592,food,amenity:cafe,cafe,,,,POINT (28.961592 41.019833),3085947146,11.480967063939502,28.961679,41.0197533
5243945195,Kahve Durağı,41.017773,28.949189,food,amenity:cafe,cafe,,,,POINT (28.949189 41.017773),9760089527,38.47202674458733,28.9490124,41.0180923
5116617721,Kahve Dünyası,41.010114,28.972035,food,amenity:cafe,cafe,,,,POINT (28.972035 41.010114),311371050,31.10460238676058,28.971679,41.010192
5111215725,Kahve cikolata,41.006642,28.935553,food,amenity:cafe,cafe,,,,POINT (28.935553 41.006642),3363433223,14.356079882156672,28.9355548,41.0067711
6918936586,Kahve deposu,41.015659,28.974869,food,amenity:cafe,cafe,,,,POINT (28.974869 41.015659),13602762042,38.4096553938293,28.9744658,41.0154954
6918936587,Kahve deposu,41.015307,28.974869,food,amenity:cafe,cafe,,,,POINT (28.974869 41.015307),278344485,20.260824270435823,28.9750226,41.0151664
5076114613,Kahvealti,40.99545,28.926482,food,amenity:cafe,cafe,,,,POINT (28.926482 40.99545),1034388569,14.742798085228273,28.9264073,40.99557
5106132751,Kahverengi Cafe,41.014151,28.935006,food,amenity:cafe,cafe,,,,POINT (28.935006 41.014151),1295933748,32.50838356328385,28.9347983,41.0143978
5680097921,Kahvesi Ethem Tezcakar,41.010609,28.968223,food,amenity:cafe,cafe,,,,POINT (28.968223 41.010609),3898631852,0.781414154157795,28.9682318,41.0106113
5113599445,Karadeniz cafe,41.00824,28.939994,food,amenity:cafe,cafe,,,,POINT (28.939994 41.00824),1058995912,7.643566361302468,28.9399223,41.0082824
5243951418,Karadeniz kardeşler,41.021295,28.945309,food,amenity:cafe,cafe,,,,POINT (28.945309 41.021295),1060106876,14.344863761046588,28.9451505,41.0212466
2696278000,Karafırın,41.005002,28.979491,food,amenity:cafe,cafe,,,,POINT (28.979491 41.005002),278004976,22.135716673101644,28.9793458,41.0048358
5113464991,Kardesler cafe,41.017102,28.951702,food,amenity:cafe,cafe,,,,POINT (28.951702 41.017102),1061625174,11.846131592921708,28.9518172,41.0171636
5113615740,Kariye Cafe,41.030926,28.937906,food,amenity:cafe,cafe,,,,POINT (28.937906 41.030926),1064574961,22.31996652434497,28.9379728,41.0311203
5113615119,Kariye Pembe Köşk Aile Çay Bahçesi Cafe,41.031278,28.938562,food,amenity:cafe,cafe,,,,POINT (28.938562 41.031278),10610563937,13.941546332693243,28.9386462,41.0313861
6324489285,Kasap Döner,41.008253,28.974562,food,amenity:cafe,cafe,,,,POINT (28.974562 41.008253),13431435312,14.746631812573359,28.9743879,41.0082349
5088194865,Kebab ve Pide Dünyası,40.999688,28.931215,food,amenity:cafe,cafe,,,,POINT (28.931215 40.999688),1035580904,7.855164246554134,28.9312384,40.9996196
5081265939,Kent Cafe,41.011754,28.941178,food,amenity:cafe,cafe,,,,POINT (28.941178 41.011754),1057437398,16.453525631285594,28.9410153,41.0116714
9480325262,Kent Cafe,41.0126,28.939474,food,amenity:cafe,cafe,,,,POINT (28.939474 41.0126),10093559832,10.019847922879205,28.9393639,41.0125651
11949902569,Kiraz Coffee,41.037653,28.943709,food,amenity:cafe,cafe,,,,POINT (28.943709 41.037653),1103230085,6.430583360954917,28.9437203,41.0375958
5113590259,Kivi cafe,41.010751,28.941083,food,amenity:cafe,cafe,,,,POINT (28.941083 41.010751),1058995747,15.364633861768038,28.9409371,41.0108345
5088197321,Konak Internet cafe,41.00011,28.931309,food,amenity:cafe,cafe,,,,POINT (28.931309 41.00011),1035581609,12.097867980652325,28.9311899,41.0001713
5113125964,Konak Kafe,41.003712,28.923179,food,amenity:cafe,cafe,,,,POINT (28.923179 41.003712),3363004585,54.54528741116403,28.9232969,41.0032296
5113483388,Konak çay evi,41.022552,28.947099,food,amenity:cafe,cafe,,,,POINT (28.947099 41.022552),1061622774,16.69878209373395,28.946903,41.0225782
5088194873,Korkmaz Cafe,41.003911,28.932425,food,amenity:cafe,cafe,,,,POINT (28.932425 41.003911),1036041045,17.855406974231006,28.9324801,41.0040661
5244803052,Kosk Cafe,41.003312,28.972137,food,amenity:cafe,cafe,,,,POINT (28.972137 41.003312),2361227093,18.281090929444375,28.9721096,41.0031489
