route_order,node_id
0,311371872
1,1936898032
2,311371885
3,1262194299
4,1262194237
5,12824125145
6,30215228
7,10073446430
8,3085937847
9,3085937886
10,10073446434
11,10073446433
12,311367420
13,10073446335
14,1936903879
15,1262194392
16,311367421
17,311367423
18,311367428
19,1262194338
20,10178682993
21,10253938200
22,10178682995
23,2984236656
24,5011983663
25,31678562
26,11279359852
27,10080802290
28,10080802288
29,269723025
30,10188024052
31,278366661
32,269723055
33,269723085
34,269723072
35,10073978973
36,10073978970
37,256099747
38,2379770189
39,256099527
40,256098698
41,256098331
42,256098691
43,10080670967
44,10080670968
45,952160704
46,256097733
47,9654484531
48,9654484530
49,2370590050
50,3086131038
51,3086131071
52,9977580280
53,1262447343
54,1260080447
55,311371929
56,1260095496
57,3379728855
58,512541822
59,10739987115
60,311371936
61,1260180427
62,1260180516
63,1260180477
64,3086092971
65,3086093002
66,1260180621
67,2370517715
68,1941126109
69,311375322
70,9981973444
71,9981973445
72,2370517732
73,10617232713
74,2370517732
75,9981973445
76,9981973444
77,311375322
78,1941126109
79,2370517715
80,1260180621
81,3086093002
82,3086092971
83,1260180477
84,1260180516
85,1260180427
86,311371936
87,10739987115
88,512541822
89,3379728855
90,1260095496
91,311371929
92,1260080447
93,1262447343
94,1260080447
95,1260080702
96,311371872
