routing_algorithm,selected_poi_ids,selected_poi_names,selected_poi_groups,total_length_m,distance_error_m,within_target_range,segment_lengths_m,route_node_count
astar,5110342193 | 4895209121 | 5112732265 | 13530207351,Hermes cafe | Laleli | Beyazıt Türk Hamam Kültürü Müzesi | Hoca Ahmet Yesevi Parkı,food | viewpoint_attraction | museum_historic | park_garden,5051.071654704929,551.0716547049287,False,74.58 | 823.64 | 655.89 | 1539.59 | 1957.37,123
astar,5110342195 | 4895209121 | 5112732265 | 13530207351,Gülsoy cafe | Laleli | Beyazıt Türk Hamam Kültürü Müzesi | Hoca Ahmet Yesevi Parkı,food | viewpoint_attraction | museum_historic | park_garden,5051.071654704929,551.0716547049287,False,131.50 | 766.72 | 655.89 | 1539.59 | 1957.37,123
astar,4506783904 | 8735018410 | 5244807985 | 5110342193,Kanuni Sultan Suleyman 1 Turbesi | Mehmet Akif Ersoy Parkı | Çorlulu Alipaşa Madresesi | Hermes cafe,museum_historic | park_garden | viewpoint_attraction | food,3947.368289161155,552.6317108388448,False,448.67 | 1603.54 | 731.71 | 1088.88 | 74.58,95
astar,5110342193 | 5244807985 | 8735018410 | 4506783904,Hermes cafe | Çorlulu Alipaşa Madresesi | Mehmet Akif Ersoy Parkı | Kanuni Sultan Suleyman 1 Turbesi,food | viewpoint_attraction | park_garden | museum_historic,3947.3682891611543,552.6317108388457,False,74.58 | 1088.88 | 731.71 | 1603.54 | 448.67,95
astar,4506783904 | 13530207351 | 4895209121 | 5110342147,Kanuni Sultan Suleyman 1 Turbesi | Hoca Ahmet Yesevi Parkı | Laleli | tebessüm kafe,museum_historic | park_garden | viewpoint_attraction | food,5053.564067555584,553.5640675555842,False,448.67 | 1890.40 | 1634.10 | 934.00 | 146.40,138
astar,5110342147 | 4895209121 | 13530207351 | 4506783904,tebessüm kafe | Laleli | Hoca Ahmet Yesevi Parkı | Kanuni Sultan Suleyman 1 Turbesi,food | viewpoint_attraction | park_garden | museum_historic,5053.564067555584,553.5640675555842,False,146.40 | 934.00 | 1634.10 | 1890.40 | 448.67,138
astar,4763681623 | 5110342142 | 5244807985 | 5110342145,Alfred Heilbronn Botanik Bahçesi | Molla Hüsrev cami Turbası | Çorlulu Alipaşa Madresesi | Anit kafe,park_garden | museum_historic | viewpoint_attraction | food,3945.972952895717,554.0270471042832,False,866.06 | 855.25 | 1089.56 | 1048.78 | 86.32,85
astar,4763681623 | 5110342142 | 5110342145 | 5244807985,Alfred Heilbronn Botanik Bahçesi | Molla Hüsrev cami Turbası | Anit kafe | Çorlulu Alipaşa Madresesi,park_garden | museum_historic | food | viewpoint_attraction,3945.972952895717,554.0270471042832,False,866.06 | 855.25 | 127.37 | 1048.78 | 1048.51,85
astar,5244807985 | 5110342145 | 5110342142 | 4763681623,Çorlulu Alipaşa Madresesi | Anit kafe | Molla Hüsrev cami Turbası | Alfred Heilbronn Botanik Bahçesi,viewpoint_attraction | food | museum_historic | park_garden,3945.972952895717,554.0270471042832,False,1048.51 | 1048.78 | 127.37 | 855.25 | 866.06,85
astar,5110342145 | 5244807985 | 5110342142 | 4763681623,Anit kafe | Çorlulu Alipaşa Madresesi | Molla Hüsrev cami Turbası | Alfred Heilbronn Botanik Bahçesi,food | viewpoint_attraction | museum_historic | park_garden,3945.972952895717,554.0270471042832,False,86.32 | 1048.78 | 1089.56 | 855.25 | 866.06,85
astar,4763681623 | 5112732265 | 9867832017 | 5110342193,Alfred Heilbronn Botanik Bahçesi | Beyazıt Türk Hamam Kültürü Müzesi | Rainbow stairs | Hermes cafe,park_garden | museum_historic | viewpoint_attraction | food,3943.5896574553863,556.4103425446137,False,866.06 | 1155.67 | 977.19 | 870.10 | 74.58,90
astar,5110342193 | 9867832017 | 5112732265 | 4763681623,Hermes cafe | Rainbow stairs | Beyazıt Türk Hamam Kültürü Müzesi | Alfred Heilbronn Botanik Bahçesi,food | viewpoint_attraction | museum_historic | park_garden,3943.5896574553863,556.4103425446137,False,74.58 | 870.10 | 977.19 | 1155.67 | 866.06,90
astar,4506783904 | 4895209121 | 10127887983 | 5110342145,Kanuni Sultan Suleyman 1 Turbesi | Laleli | Keyci Hatun Parkı | Anit kafe,museum_historic | viewpoint_attraction | park_garden | food,5057.35612346985,557.35612346985,False,448.67 | 1295.49 | 1208.51 | 2018.37 | 86.32,110
astar,5110342145 | 10127887983 | 4895209121 | 4506783904,Anit kafe | Keyci Hatun Parkı | Laleli | Kanuni Sultan Suleyman 1 Turbesi,food | park_garden | viewpoint_attraction | museum_historic,5057.35612346985,557.35612346985,False,86.32 | 2018.37 | 1208.51 | 1295.49 | 448.67,110
astar,5110342147 | 4506783904 | 13530207351 | 9867832017,tebessüm kafe | Kanuni Sultan Suleyman 1 Turbesi | Hoca Ahmet Yesevi Parkı | Rainbow stairs,food | museum_historic | park_garden | viewpoint_attraction,5057.510469499457,557.510469499457,False,146.40 | 428.20 | 1890.40 | 1796.99 | 795.52,144
astar,9867832017 | 13530207351 | 4506783904 | 5110342147,Rainbow stairs | Hoca Ahmet Yesevi Parkı | Kanuni Sultan Suleyman 1 Turbesi | tebessüm kafe,viewpoint_attraction | park_garden | museum_historic | food,5057.510469499458,557.5104694994579,False,795.52 | 1796.99 | 1890.40 | 428.20 | 146.40,144
astar,5110342142 | 5244807882 | 5110342193 | 4763681623,Molla Hüsrev cami Turbası | Merzifonlu Kara Mustafa Paşa Medresesi | Hermes cafe | Alfred Heilbronn Botanik Bahçesi,museum_historic | viewpoint_attraction | food | park_garden,3942.117841141974,557.8821588580258,False,41.05 | 1081.95 | 1081.26 | 871.79 | 866.06,90
astar,4763681623 | 5110342193 | 5244807882 | 5110342142,Alfred Heilbronn Botanik Bahçesi | Hermes cafe | Merzifonlu Kara Mustafa Paşa Medresesi | Molla Hüsrev cami Turbası,park_garden | food | viewpoint_attraction | museum_historic,3942.117841141973,557.8821588580272,False,866.06 | 871.79 | 1081.26 | 1081.95 | 41.05,90
astar,5110342193 | 4763681623 | 5110342142 | 5244807985,Hermes cafe | Alfred Heilbronn Botanik Bahçesi | Molla Hüsrev cami Turbası | Çorlulu Alipaşa Madresesi,food | park_garden | museum_historic | viewpoint_attraction,3939.6880121505183,560.3119878494817,False,74.58 | 871.79 | 855.25 | 1089.56 | 1048.51,88
astar,5244807985 | 5110342142 | 4763681623 | 5110342193,Çorlulu Alipaşa Madresesi | Molla Hüsrev cami Turbası | Alfred Heilbronn Botanik Bahçesi | Hermes cafe,viewpoint_attraction | museum_historic | park_garden | food,3939.688012150518,560.3119878494822,False,1048.51 | 1089.56 | 855.25 | 871.79 | 74.58,88
astar,5110342145 | 6916379085 | 8735018410 | 5244807882,Anit kafe | İstanbul’un Orta Noktası | Mehmet Akif Ersoy Parkı | Merzifonlu Kara Mustafa Paşa Medresesi,food | museum_historic | park_garden | viewpoint_attraction,3938.4863713147893,561.5136286852107,False,86.32 | 374.91 | 1718.69 | 717.67 | 1040.90,97
