osmid,y,x,elevation
27412888,41.0222611,28.9612568,1.732322454452515
27609492,41.0408106,28.9448547,0.0
30215226,41.0163717,28.9623402,49.07112121582031
30215228,41.0157233,28.9631482,53.41699600219727
30215230,41.0150553,28.9639639,54.78393936157227
30215232,41.0150127,28.9645479,52.27719116210938
30215237,41.0150442,28.9667135,40.04451751708984
30215238,41.0151177,28.9674757,27.26699256896973
30215239,41.0165609,28.9661658,22.67779541015625
30215244,41.0141074,28.9659276,55.12582397460938
30215246,41.0132134,28.9659734,58.19535446166992
30215248,41.0126222,28.965995,58.68410491943359
30215250,41.012003,28.9660188,57.81315612792969
30215252,41.0116957,28.9660099,56.59016799926758
30215295,41.0107153,28.9593377,46.61740112304688
30215296,41.010362,28.9593505,44.21000671386719
31678562,41.009673,28.9612865,46.03291320800781
31678593,41.0124357,28.9785492,9.857747077941895
31678598,41.0172365,28.9748744,0.2212540209293365
31678600,41.0176784,28.9725003,-0.01716813631355762
31678606,41.0061266,28.9731154,36.12633514404297
31678611,41.0072204,28.9770894,34.13510894775391
31678612,41.0075591,28.9766076,35.316162109375
31678616,41.0058551,28.9787115,29.45767974853516
31678621,41.0084746,28.9813019,38.06301498413086
31678629,41.0109987,28.9746557,42.84157180786133
31678630,41.0103095,28.9742002,46.91342544555664
31678633,41.0115634,28.9737283,48.06203079223633
31678636,41.0130184,28.9750091,23.9509449005127
31678639,41.0072804,28.9796692,32.95097351074219
31678645,41.0110274,28.9828462,43.516357421875
31678646,41.00958,28.9818351,39.96138000488281
31678650,41.0092236,28.9816596,39.80531692504883
31678651,41.009016,28.9819123,38.44148254394531
31678652,41.0087153,28.9815823,38.7947998046875
31678654,41.0089151,28.9813197,39.7933235168457
35890182,41.0182562,28.9717712,2.609948873519897
35890184,41.017432,28.9722579,0.5166219472885132
35891069,41.0229648,28.9625912,1.153969645500183
35892065,41.0225838,28.9616052,1.205168128013611
35892066,41.0223447,28.9611727,2.019332647323608
248137248,41.0087077,28.9608523,41.72473526000977
248137251,41.0081341,28.9623363,39.92677688598633
248137261,41.0071122,28.9683904,45.4806022644043
248137265,41.0070517,28.9732273,47.47687530517578
248137270,41.0070304,28.9703471,46.03311538696289
248137271,41.0056799,28.9696219,19.1804084777832
248137282,41.0052221,28.9653761,17.06825637817383
248137284,41.0068392,28.9664195,40.89426422119141
248137285,41.0074622,28.9667771,47.30400085449219
248137296,41.0069285,28.9580198,12.41524505615234
248137297,41.0065219,28.9592514,11.96093368530273
248137301,41.0053656,28.9630991,9.372652053833008
248137304,41.0048532,28.9651379,9.926762580871582
248137305,41.004494,28.9666614,9.172686576843262
248137308,41.0047199,28.9672268,8.514861106872559
248137315,41.0046627,28.9711774,8.9375581741333
248137316,41.0042856,28.9716291,9.769790649414062
248137320,41.0035818,28.9723649,8.638360023498535
248137322,41.003187,28.973797,11.16139793395996
248137337,41.0021306,28.9736437,0.9067941308021545
248137420,41.0047704,28.9673546,8.08637523651123
248137496,41.0039108,28.9501997,-0.9024442434310913
251298881,41.0087832,28.9674773,52.08835220336914
251299908,41.0126292,28.939002,40.04368209838867
251895937,41.0196129,28.924614,58.892822265625
251897318,41.0309883,28.9363232,73.31854248046875
252233777,41.0138201,28.9749437,14.0757417678833
252235307,41.0147429,28.9722246,22.30881881713867
252235465,41.0160348,28.9731127,3.733444452285767
252235555,41.0155632,28.9743734,5.963747978210449
252235687,41.0163048,28.9733529,3.554019451141357
252236136,41.015291,28.9725624,20.85397148132324
252236332,41.0158257,28.9755642,2.992635726928711
256097472,41.011066,28.9554429,36.79966354370117
256097474,41.0114658,28.9554728,36.43325805664062
256097475,41.0116513,28.9555545,35.75225448608398
256097733,41.012892,28.9577276,40.90251159667969
256097740,41.0107324,28.9615437,50.86784362792969
256097742,41.0106744,28.9622379,51.45877075195312
256098018,41.0147793,28.9540259,38.64226150512695
256098105,41.0146072,28.9545932,37.56872177124023
256098253,41.0135536,28.9565341,38.60338973999023
256098329,41.0115831,28.9555145,35.90845489501953
256098331,41.0115255,28.9573541,41.96768569946289
256098341,41.0127224,28.9562564,38.30375289916992
256098343,41.0115455,28.9566359,41.99961471557617
256098691,41.0120128,28.9573153,41.55094146728516
256098698,41.0111907,28.9573351,43.35885620117188
256098735,41.0114121,28.9539513,21.09921836853027
256098769,41.0122602,28.9559629,40.13655471801758
256098770,41.0126531,28.9548594,34.87585830688477
256098774,41.0124922,28.9547874,35.11627197265625
256098775,41.0120153,28.9551387,36.41621398925781
256098787,41.0112924,28.9544811,31.16203880310059
256098788,41.0108248,28.9544842,28.86050605773926
256098790,41.0102644,28.9545123,26.19657516479492
256098791,41.0096944,28.954521,17.58344268798828
256098828,41.0106445,28.95544,34.77080535888672
256099187,41.0097027,28.9540821,16.8807487487793
256099223,41.0109415,28.9539746,23.67526817321777
256099261,41.0102706,28.9554432,31.05923080444336
256099468,41.0120337,28.9578156,42.59824371337891
256099527,41.0109692,28.9573266,41.62263488769531
256099718,41.0110016,28.9583385,47.46199035644531
256099720,41.0110451,28.9593283,47.29746246337891
256099747,41.0102982,28.9573124,36.32138442993164
256099861,41.0103249,28.9583444,43.12636184692383
269715284,41.0173616,28.972978,0.2650785446166992
269715285,41.0171208,28.9733851,0.6435816287994385
269716140,41.0089327,28.9751124,49.25434875488281
269716327,41.0086425,28.9741832,51.59312438964844
269716442,41.0086778,28.9734961,53.10218048095703
269716595,41.0107783,28.9749715,42.82149887084961
269716638,41.0096351,28.9738552,57.67966461181641
